p1 mw,p1 WF,p2 mw,p2 WF
164107.6719,0.025365929323148722,507012896,0.09069355238535975
163701.3281,0.02565749257242025,504924096,0.09145946633995337
163296.1563,0.02593264208901791,502841696,0.09217425459902527
162892,0.026216973463100177,500764576,0.09292247609916929
162489.0156,0.026488626042871177,498693856,0.09362707206419962
162087.0313,0.02675973823937847,496628416,0.09438501479952795
161686.0469,0.02705583128116365,494569376,0.09511700525693055
161286.3906,0.02732441329731627,492515616,0.09590194837614201
160887.5625,0.027622106084280992,490468224,0.09669470897520403
160489.8906,0.027925602792671648,488427232,0.0975021811295498
160093.375,0.028241363511708868,486392544,0.09831959585221416
159698.0156,0.028558452924782173,484364256,0.09918367460094303
159303.6406,0.028895793429403814,482343328,0.10001164717222791
158910.4063,0.029240385550255446,480328736,0.10080115762649641
158518.3125,0.029601047710043807,478319424,0.10173957397990284
158127.3594,0.029954418494258922,476318496,0.10257729666292524
157737.375,0.030345144872764584,474323872,0.1034087884633098
157348.7031,0.03071457904163304,472335520,0.1043537528574751
156960.9844,0.03111189931590786,470355488,0.10518501396807681
156574.5625,0.0314837529267649,468381728,0.10611854550566209
156189.0938,0.03187849183815529,466416224,0.10694198913641322
155804.9219,0.032263430764586425,464456928,0.10779978909001085
155421.8594,0.03265932652314433,462504864,0.10872059929598432
155039.9063,0.03305583702658284,460560992,0.10951957141910106
154659.0781,0.03345132293673623,458623296,0.11047764189671878
154279.3438,0.033859239769144574,456694752,0.11132253774141511
153900.875,0.03424520661600252,454773280,0.11216913552821557
153523.5,0.034625323294164956,452858944,0.11307528209139867
153147.2344,0.03502578683010421,450952640,0.11404458345104529
152772.2031,0.03539929963107241,449055360,0.11484647872022144
152398.1094,0.035817631193320626,447164096,0.11585205935530994
152025.4219,0.03621802203121383,445281760,0.1168099086611149
151653.8281,0.03663536204978443,443407360,0.11776974835191328
151283.4531,0.037032804651968926,441540864,0.11879376190725784
150914,0.03747542956111602,439683168,0.11970220665690684
150545.9375,0.03789547981385938,437832320,0.12081320219817261
150178.9375,0.03835450852970763,435991200,0.12175190699446833
149813.3281,0.03876864245908812,434156864,0.12287308531180562
149448.6094,0.039245856499658345,432332160,0.12385679074790654
149085.2656,0.03969509515652005,430515104,0.1249236317807734
148722.9688,0.040187523107016405,428706624,0.12598595355239806
148362.0469,0.04064553715555225,426906688,0.12705035233867587
148002.1563,0.041115644975984585,425115232,0.12811931846001073
147643.4688,0.04158989752773168,423332224,0.12919333265455152
147285.9688,0.04206765028799476,421557632,0.13033322281706408
146929.6719,0.042548823959896766,419792320,0.13139766967715677
146574.5469,0.04306073947837471,418035296,0.13253990593862863
146220.75,0.04353276761408894,416287488,0.13360199702047046
145867.9844,0.044019781639618435,414547872,0.13465263588714912
145516.3906,0.044530722139222524,412816448,0.13585616158427405
145166.1094,0.04502469027906207,411094944,0.13699148425040805
144817,0.045522426406871735,409382432,0.13812092239122148
144469.0313,0.04605102338202532,407678848,0.13919611939519422
144122.3906,0.04653453714358646,405983232,0.14040915467366075
143776.7344,0.047095875632927324,404297344,0.14155624687440047
143432.5313,0.04760124677459501,402620224,0.14269784849698725
143089.3281,0.04814990641417225,400951840,0.143909162636088
142747.3906,0.0487067365710634,399292960,0.1450568125253447
142406.75,0.04925451368630591,397642720,0.14636098365771721
142067.25,0.04982136857657785,396002752,0.14743759416090477
141729,0.05038582382135431,394370432,0.14875231346260623
141391.8906,0.05098008221512969,392748288,0.14999177223917726
141056.0313,0.051584481071364506,391135392,0.151142489495938
140721.4375,0.052186886858819025,389530848,0.1524457952996426
140388.0938,0.05277380441351462,387936256,0.15365794589085804
140055.8594,0.05338635720680724,386350752,0.154872529372014
139724.8594,0.05399978587015119,384774272,0.15617386398798683
139395.1094,0.05462529183604023,383207584,0.15740083212272887
139066.5938,0.05525019292756903,381649792,0.1587027533037719
138739.3125,0.05587427105059946,380101664,0.15991099055739857
138413.25,0.056500649559398125,378562336,0.16127709528227935
138088.4063,0.05710167047957427,377033344,0.16248436121899518
137764.6406,0.05778618119624263,375513024,0.16377316679861573
137442.375,0.05837510496192824,374002112,0.16508474194376652
137121.0156,0.05907686896002497,372500576,0.16639297079649404
136801.1719,0.05969170566973443,371008288,0.1678001433036865
136482.3594,0.0603754363380323,369526048,0.1691272187050639
136164.8906,0.06104051898710306,368052992,0.1704644094501147
135848.6094,0.061703182194185247,366588992,0.17189456301535863
135533.5156,0.062405270034073666,365134848,0.17331931279343082
135219.7344,0.0630871035107244,363690432,0.17477538976004725
134907.1406,0.06377291652610474,362255744,0.1761462157207213
134595.7031,0.06453127903065427,360829856,0.1776231007444278
134285.7188,0.06520117405747335,359413536,0.17911950518887101
133976.75,0.06593703465911756,358006720,0.18060831332527644
133669.0625,0.0666785405329812,356609312,0.18209298695228027
133362.6875,0.06738647865246983,355221280,0.18367221951466
133057.4375,0.06813793323452652,353843296,0.18524950960453962
132753.4844,0.06888675687928751,352475296,0.18663197023502331
132450.7969,0.06960547660144029,351115680,0.18834485848868038
132149.2344,0.0704035281911085,349766656,0.18986682094123866
131849.0938,0.07109678452153283,348426688,0.1913613408276098
131549.9063,0.07192657277314392,347095616,0.19308607524359767
131252.2813,0.07261223373814878,345774976,0.19469669274762808
130955.6016,0.07341378220919126,344463904,0.19619296264991826
130660.3125,0.07419413102058804,343161536,0.19795475520167774
130366.2656,0.07497334949104613,341869376,0.1996049693970201
130073.4531,0.07571927774619902,340586560,0.20140053170655586
129781.7266,0.07658919798094078,339313792,0.20308649652669794
129491.5,0.07732683677346414,338050208,0.2047756150213607
129202.2109,0.07821252289093933,336795776,0.20658092744263404
128914.4219,0.07899381039991311,335551168,0.20837566281802522
128627.6875,0.07986213094492772,334316288,0.2100619352783182
128342.3047,0.08069671837662507,333090336,0.21200974961809368
128058.1094,0.0815829531952182,331874720,0.21384977391485785
127775.25,0.08239395463034112,330668608,0.21569297156736894
127493.4375,0.08333218047411481,329471968,0.21739876344839867
127213.0781,0.08415849829512807,328283968,0.21939303983968753
126933.7578,0.0850744602375324,327105984,0.22140727815666017
126655.7422,0.08599342326174603,325937984,0.22326337975675103
126379.0313,0.08687165286651514,324779104,0.22528727203783147
126103.4844,0.08779231478473085,323630080,0.22717589315386863
125829.2188,0.08868244973427175,322490048,0.22935551829976505
125556.1094,0.0896209268326958,321360384,0.23111434931094185
125284.2813,0.09054894617024742,320238912,0.2333089362218096
125013.7188,0.09143699888361058,319127648,0.23535642484124336
124744.2969,0.09242258193142083,318025824,0.23757126195936265
124476.2734,0.09330980829369158,316934080,0.2394846527052151
124209.3672,0.09425531885875513,315850912,0.24175156747718374
123943.7188,0.09521661515849753,314777696,0.24389019211184504
123679.3203,0.09618455492842036,313713632,0.24621635753801546
123416.1563,0.09715983892001702,312659328,0.24857440800256858
123154.2266,0.09815231003837467,311614752,0.2506105311978204
122893.5391,0.09913007957117494,310578432,0.25330412479115083
122634.0625,0.1001814364949963,309553024,0.25536117122706264
122375.9531,0.10112416407238868,308535744,0.25795962883791707
122118.9141,0.10213328027067275,307528576,0.26042595008363034
121863.0859,0.10319757378683443,306530752,0.2630676005652645
121608.5938,0.10421887963414818,305542848,0.26538765061501
121355.3047,0.10524957888970603,304563520,0.2680866478341906
121103.2031,0.10633770305826147,303593952,0.2708213958394925
120852.4219,0.10738237680801152,302634144,0.2731778308302797
120602.8281,0.10842439976852042,301682656,0.2761636782113349
120354.3984,0.10953800052646637,300741440,0.27876277046107445
120107.2813,0.1106557790653346,299809088,0.2817740411467702
119861.4609,0.11165171407091137,298886848,0.2843835565416556
119616.6641,0.11283663482826532,297973312,0.28723469060750606
119373.2891,0.11390115309284853,297069088,0.2903118853349885
119131.0625,0.1150199827312307,296174784,0.2931984812601063
118890.1094,0.11614576653937529,295289664,0.2960722117934891
118650.4219,0.11715071155556815,294413632,0.2990215393687065
118411.7422,0.11836035536017095,293546656,0.3022096586164593
118174.4531,0.11951363854895217,292689280,0.3054705288716769
117938.4141,0.12061402506458331,291841472,0.3085518390726208
117703.4922,0.12178347738567144,291002528,0.3121196364376451
117469.8125,0.12295741164388514,290173632,0.31524829337735344
117237.3672,0.1239827432217457,289353440,0.3186603770748234
117005.8906,0.12523653154236392,288542528,0.32214173094518184
116775.7813,0.12641685141727665,287740864,0.32597551266188424
116546.8828,0.12754480346821181,286948992,0.32935024978069327
116319.0781,0.12875436792048517,286165568,0.3333357642336417
116092.4766,0.1299792289621558,285391776,0.3374095105916983
115867.0859,0.13104912810209834,284627616,0.34123629224472474
115642.6328,0.13235778304101217,283872352,0.3454151168309329
115419.5078,0.13352040019310585,283126560,0.3496502116561416
115197.4453,0.13477436036059265,282390144,0.3537029962176934
114976.5703,0.13603021112089553,281662464,0.3584122125893366
114756.8672,0.1372226545456229,280944672,0.3625824217994244
114538.2188,0.13849656503104876,280235488,0.3674444478898241
114320.7344,0.13977875172598975,279536064,0.37207027845501384
114104.4219,0.14089349613344115,278845728,0.3767600329977052
113889.0156,0.1422446825900764,278164448,0.38186421625032535
113674.8906,0.14351047540428896,277492736,0.38674885800551917
113461.9141,0.14461728729596238,276829952,0.3920727363336588
113249.8359,0.14597364313264993,276176608,0.3971732656537047
113039.0156,0.14726160735369268,275532096,0.40273857035754973
112829.3359,0.148390841795942,274896928,0.408790381422737
112620.5469,0.14967001415595924,274271648,0.4141796067455632
112412.875,0.15095428979681372,273655008,0.42005799249148473
112206.3281,0.15223631789800054,273047552,0.42609830342901545
112000.8984,0.1534327276083431,272449216,0.4318574953132205
111796.4609,0.15463750613364463,271859360,0.43821111814393204
111593.0078,0.15605096287518094,271278528,0.44472812773928244
111390.7813,0.15718337035701288,270706656,0.4504746271684288
111189.4063,0.158523028212221,270142528,0.4568179421988859
110989.1328,0.15995015540265095,269586656,0.46378372698639836
110790.0703,0.16108487646791317,269039616,0.4698995388181339
110591.8438,0.16242861960950444,268500192,0.4766590901662236
110394.7031,0.16378735518428963,267968880,0.4825586685597544
110198.6406,0.16506208536652453,267444512,0.4901799620755838
110003.5313,0.16633357640996183,266928784,0.49690085885007607
109809.3672,0.16782368777899595,266420496,0.5031281338546588
109616.3906,0.16899242620638094,265919008,0.5106756571336193
109424.2344,0.17048211452934847,265425456,0.517812559697283
109233.2578,0.17174088713003594,264939216,0.5245229563762612
109043.2031,0.1730148240107859,264459680,0.5313108927308957
108854.0859,0.17439118301151313,263986800,0.5389834176078466
108666.0078,0.17566738068504517,263521152,0.5461210893525485
108478.8516,0.17705826942446118,263062080,0.5541781963598539
108292.7344,0.17831821866880923,262610160,0.5608937469389593
